Date,Vendor,Pro,Site,BSC,Cell,SD Attempt,SD Cong,SCR,SD Suc,SD Drop,SDR,TCH Attempt,TCH Succ,TASR,CSSR,Call Suc,Call Drop,CDR,HO Attempt,HO Suc,HOSR,HI Attempt,HI Suc,HISR,Total Erlang,Erlang HR,Traffic SD
10/3/2014 12:00:00 AM,Nokia,MAC,MAC001,BCMP01,MAC0011,2249,0,0,2249,6,0.27,401,401,100,99.73,401,1,0.24,114,113,99.12,122,121,99.18,4.98,0.01,2.71
10/3/2014 12:00:00 AM,Nokia,MAC,MAC001,BCMP01,MAC0012,2753,0,0,2753,24,0.87,502,498,99.2,98.34,498,4,0.87,232,229,98.71,197,192,97.46,5.2,0.04,3.79
10/3/2014 12:00:00 AM,Nokia,MAC,MAC001,BCMP01,MAC0013,12841,0,0,12841,47,0.37,2403,2398,99.79,99.43,2398,18,0.74,649,627,96.61,671,658,98.06,26.66,0.16,14.88
10/3/2014 12:00:00 AM,Nokia,MAC,MAC003,BCMP01,MAC0031,11325,0,0,11325,12,0.11,2203,2194,99.59,99.49,2194,13,0.66,2164,2117,97.83,1893,1880,99.31,34.22,1.28,15.14
10/3/2014 12:00:00 AM,Nokia,MAC,MAC003,BCMP01,MAC0032,2848,0,0,2848,1,0.04,270,270,100,99.96,270,1,0.42,467,414,88.65,389,384,98.71,6.46,0.06,3.42
10/3/2014 12:00:00 AM,Nokia,MAC,MAC003,BCMP01,MAC0033,9013,0,0,9013,24,0.27,1106,1101,99.55,99.28,1101,12,1.09,824,805,97.69,836,808,96.65,23.57,0.73,11.56
10/3/2014 12:00:00 AM,Nokia,MAC,MAC004,BCMP01,MAC0041,13430,0,0,13430,25,0.19,2504,2504,100,99.81,2504,17,0.93,3215,3197,99.44,2542,2527,99.41,26.91,0.86,13.68
10/3/2014 12:00:00 AM,Nokia,MAC,MAC004,BCMP01,MAC0042,7598,0,0,7598,3,0.04,151,151,100,99.96,151,0,0,107,107,100,117,116,99.15,2.04,0.02,5.22
10/3/2014 12:00:00 AM,Nokia,MAC,MAC004,BCMP01,MAC0043,5389,0,0,5389,17,0.32,1132,1132,100,99.68,1132,4,0.37,1805,1776,98.39,1784,1734,97.2,16.26,0.13,7.21
10/3/2014 12:00:00 AM,Nokia,MAC,MAC005,BCMP01,MAC0051,11746,0,0,11746,32,0.27,2613,2609,99.85,99.57,2609,14,0.55,2097,2020,96.33,1956,1950,99.69,39.84,1.5,14.74
10/3/2014 12:00:00 AM,Nokia,MAC,MAC005,BCMP01,MAC0052,4631,0,0,4631,9,0.19,898,898,100,99.81,898,1,0.12,478,472,98.74,396,385,97.22,13.69,0.07,4.74
10/3/2014 12:00:00 AM,Nokia,MAC,MAC005,BCMP01,MAC0053,7036,0,0,7036,19,0.27,1119,1117,99.82,99.55,1117,4,0.37,1677,1652,98.51,1642,1627,99.09,16.45,0.19,8.22
10/3/2014 12:00:00 AM,Nokia,MAC,MAC006,BCMP01,MAC0061,3083,0,0,3083,6,0.19,708,707,99.86,99.66,707,4,0.56,535,526,98.32,538,535,99.44,12.46,0.05,3.59
10/3/2014 12:00:00 AM,Nokia,MAC,MAC006,BCMP01,MAC0062,1533,0,0,1533,1,0.07,155,155,100,99.93,155,2,1.18,151,149,98.68,172,164,95.35,2.67,0.01,2.57
10/3/2014 12:00:00 AM,Nokia,MAC,MAC006,BCMP01,MAC0063,6365,0,0,6365,12,0.19,860,860,100,99.81,860,5,0.56,948,935,98.63,1066,968,90.81,17.39,0.16,7.68
10/3/2014 12:00:00 AM,Nokia,MAC,MAC007,BCMP01,MAC0071,3497,0,0,3497,4,0.11,557,556,99.82,99.71,556,1,0.17,1098,1091,99.36,1127,1114,98.85,10.19,0.02,4.33
