Date,Vendor,Pro,Site,BSC,Cell,TRX,SDCCH,TCH,Trafic offer,SD Attempt,SD Cong,SCR,SD Suc,SD Drop,SDR,TCH Attempt,TCH Succ,TCH Cong,TCR,TASR,CSSR,Call Suc,Call Drop,CDR,HO Attempt,HO Suc,HOSR,HI Attempt,HI Suc,HISR,Erlang peak,Erlang HR,TU (non HR),% Traffic HR,Erl/TRx,TU 80%,TU 100%,No TRX site,CSSR fail,HO fail,HI fail,DL LLC Data Volume (MB),UL LLC Data Volume (MB),DL TBF Congestion Rate (DTCR),UL TBF Congestion Rate (UTCR)
10/3/2014 17:00,Nokia,MAC,MAC001,BCMP01,MAC0011,2,23,9.93,5.08,107,0,0,107,0,0,31,31,0,0,100,100,31,0,0,7,7,100,8,7,87.5,0.52,0,10.16,0,0.26,4.87804878,4.217356042,6,0,0,1,27.60358594,4.972865234,0,0
10/3/2014 19:00,Nokia,MAC,MAC001,BCMP01,MAC0012,2,23,9.5,5.08,192,0,0,192,1,0.52,49,49,0,0,100,99.48,49,0,0,37,37,100,25,25,100,0.84,0.1111111,16.61,13.16,0.42,7.879924953,6.812652068,6,1,0,0,12.34936523,2.603761719,0,0
10/3/2014 18:00,Nokia,MAC,MAC001,BCMP01,MAC0013,2,23,9.16,4.34,975,0,0,975,4,0.41,274,273,0,0,99.64,99.23,273,2,0.72,72,70,97.22,78,76,97.44,2.89,0.7777778,66.49,26.92,1.445,29.40577941,25.15230635,6,5,2,2,172.6757979,20.82576758,0,0
10/3/2014 15:00,Nokia,MAC,MAC003,BCMP01,MAC0031,2,31,7.3,2.93,776,0,0,776,0,0,191,190,0,0,99.48,99.48,190,0,0,174,170,97.7,159,159,100,2.67,2.527778,90.86,94.79,1.335,36.07133207,32.56097561,5,1,4,0,343.3314434,78.36073535,0,0
10/3/2014 6:00,Nokia,MAC,MAC003,BCMP01,MAC0032,2,31,8.81,4.34,77,0,0,77,0,0,6,6,0,0,100,100,6,0,0,69,69,100,71,71,100,0.62,0.3555556,14.32,57.14,0.31,6.881243063,5.816135084,5,0,0,0,135.180335,21.30119531,0,0
10/3/2014 15:00,Nokia,MAC,MAC003,BCMP01,MAC0033,1,31,6,2.28,587,0,0,587,1,0.17,84,84,0,0,100,99.83,84,0,0,90,86,95.56,85,82,96.47,2.16,1.716667,94.71,79.64,2.16,42.48623131,32.65306122,5,1,4,3,265.2909268,211.4976123,0,0
10/3/2014 17:00,Nokia,MAC,MAC004,BCMP01,MAC0041,2,31,7.49,2.93,1043,0,0,1043,4,0.38,179,179,0,0,100,99.62,179,1,0.74,245,242,98.78,198,198,100,2.37,2.116667,80.83,89.23,1.185,32.01837341,28.90243902,5,4,3,0,212.0548613,24.10238574,0,0
10/3/2014 17:00,Nokia,MAC,MAC004,BCMP01,MAC0042,2,31,7.67,3.63,362,0,0,362,0,0,7,7,0,0,100,100,7,0,0,9,9,100,12,12,100,0.38,0.02777778,10.57,7.25,0.19,5.133747636,4.217536071,5,0,0,0,406.3545068,22.57722754,0,0
10/3/2014 17:00,Nokia,MAC,MAC004,BCMP01,MAC0043,1,31,6.77,2.93,665,0,0,665,3,0.45,140,140,0,0,100,99.55,140,0,0,213,213,100,194,191,98.45,1.78,0.4222222,60.57,23.75,1.78,26.90854119,24.04755471,5,3,0,3,175.1121133,35.26212207,0,0.005906675
10/3/2014 11:00,Nokia,MAC,MAC005,BCMP01,MAC0051,1,23,6.78,2.93,1220,0,0,1220,4,0.33,277,277,0,0,100,99.67,277,4,1.49,210,202,96.19,195,194,99.49,3.32,3.127778,113,94.3,3.32,50.18896447,44.8527425,3,4,8,1,497.4883428,93.79774316,0,0.004630058
10/3/2014 11:00,Nokia,MAC,MAC005,BCMP01,MAC0052,1,23,7.51,3.63,334,0,0,334,0,0,78,78,0,0,100,100,78,0,0,34,33,97.06,28,28,100,1.36,0.3277778,37.53,24.08,1.36,18.37341259,15.09433962,3,0,1,0,284.6492148,51.64437793,0,0
10/3/2014 15:00,Nokia,MAC,MAC005,BCMP01,MAC0053,1,23,6.67,2.93,469,0,0,469,0,0,82,82,0,0,100,100,82,0,0,154,152,98.7,157,154,98.09,1.56,0.5833333,53,37.5,1.56,23.58276644,21.07538503,3,0,2,3,313.7600654,57.13194434,0,0
10/3/2014 10:00,Nokia,MAC,MAC006,BCMP01,MAC0061,2,31,7.89,3.63,259,0,0,259,0,0,71,71,0,0,100,100,71,0,0,47,46,97.87,48,48,100,1.38,0.1,38.14,7.23,0.69,16.82926829,15.31631521,5,0,1,0,13.51854004,5.708186523,0,0
10/3/2014 12:00,Nokia,MAC,MAC006,BCMP01,MAC0062,2,31,7.87,3.63,170,0,0,170,0,0,24,24,0,0,100,100,24,0,0,9,9,100,11,11,100,0.33,0.01111111,9.04,3.39,0.165,4.024390244,3.662597114,5,0,0,0,28.03315137,6.746104492,0,0
10/3/2014 10:00,Nokia,MAC,MAC006,BCMP01,MAC0063,1,31,6.29,2.28,544,0,0,544,0,0,87,87,0,0,100,100,87,1,1.06,109,106,97.25,119,113,94.96,1.6,0.3833333,70.3,23.96,1.6,27.38788086,24.18745276,5,0,3,6,219.9285391,52.53028809,0,0
10/3/2014 11:00,Nokia,MAC,MAC007,BCMP01,MAC0071,2,31,7.73,3.63,235,0,0,235,0,0,56,56,0,0,100,100,56,1,2,181,181,100,177,175,98.87,1.12,0.2277778,30.79,20.4,0.56,15.13104566,12.43063263,6,0,0,2,490.3279844,96.63702246,0,0
10/3/2014 15:00,Nokia,MAC,MAC007,BCMP01,MAC0072,2,23,9.76,5.08,68,0,0,68,0,0,27,27,0,0,100,100,27,0,0,24,24,100,31,20,64.52,0.39,0.05555556,7.76,14.08,0.195,3.658536585,3.163017032,6,0,0,11,22.68791406,6.415,0,0
10/3/2014 17:00,Nokia,MAC,MAC007,BCMP01,MAC0073,2,23,8.54,4.34,216,0,0,216,0,0,58,58,0,0,100,100,58,0,0,52,51,98.08,67,61,91.04,2.12,1.8,48.84,84.82,1.06,23.52941176,19.88742964,6,0,1,6,231.668832,828.1505352,0,0
10/3/2014 20:00,Nokia,MAC,MAC008,BCMP01,MAC0081,2,31,8.28,3.63,789,0,0,789,1,0.13,40,40,0,0,100,99.87,40,0,0,46,44,95.65,44,44,100,1.53,0.005555556,42.12,0.36,0.765,18.65853659,15.56776557,6,1,2,0,82.65473242,15.15919824,0,0
