Time,RNC,CELLNAME,CellId,NODEBNAME,Integrity,VoiceTraffic(Erl),VP Traffic(Erl),PS Traffic(MB),PS RAB Attempt(number),RAB congestion PS(number),CS RAB Attempt(number),RAB congestion CS(number),RRC CS Attempt,RRC CS Success,RRC PS Attempt,RRC PS Sucess,CS RAB Suc(number),RAB PS Sucess,CS CSSR(%),PS CSSR(%),Soft handover attempt,SHO suc No,HHO Attempt,HHO suc,CS Call Attempt,CS Drop,CS InterRat HO Attempt(number),CS InterRat suc(number),PS Call Attempt,Drop PS,PS InterRat Attempt,PS InterRat suc,HSDPA Throughput (Mb/s)(mb/second),HSUPA Throughput (Mb/s)(mb/second)
10/03/2014,RCNA01-RNC,UCAB0011,60611,UCAB001,100%,9.5616,0,4598.489,26044,0,1584,0,4381,4376,16870,16856,1579,26001,99.5706,99.752,41436,41407,6033,6028,2117,3,1149,1136,26876,48,6893,6611,0.7798,0.0442
10/03/2014,RCNA01-RNC,UCAB0012,60612,UCAB001,100%,1.0968,0,344.3503,3304,0,228,0,326,326,2908,2907,228,3302,100,99.9051,3978,3973,388,387,239,0,80,78,3305,5,145,139,0.696,0.0363
10/03/2014,RCNA01-RNC,UCAB0013,60613,UCAB001,100%,4.0632,0,2074.9471,10912,0,600,0,876,874,8918,8916,599,10905,99.6054,99.9134,17735,17729,2422,2422,633,1,153,152,10967,27,566,524,0.8452,0.0398
10/03/2014,RCNA01-RNC,UCAB0014,60614,UCAB001,100%,16.7592,0.012,5476.8202,51200,0,2966,0,5129,5123,39354,39344,2955,51021,99.5126,99.6251,11862,11854,3396,3392,2561,9,557,552,50699,87,653,609,0.862,0.0495
10/03/2014,RCNA01-RNC,UCAB0015,60615,UCAB001,100%,0.924,0,591.215,2022,0,150,0,239,239,1501,1500,150,2019,100,99.7851,2770,2770,295,277,140,0,46,46,2004,2,58,58,0.905,0.268
10/03/2014,RCNA01-RNC,UCAB0016,60616,UCAB001,100%,2.2416,0,7429.4924,6352,0,349,0,527,527,5342,5336,349,6338,100,99.6675,9080,9080,1276,1276,323,1,64,64,6536,14,97,88,2.6779,0.1005
10/03/2014,RCNA01-RNC,UCAB0051,60651,UCAB005,100%,5.0496,0,2294.2113,12673,0,496,0,1325,1325,9022,9020,495,12663,99.7984,99.8989,17881,17874,2895,2894,525,1,15,14,12788,36,27,24,0.5745,0.0348
10/03/2014,RCNA01-RNC,UCAB0052,60652,UCAB005,100%,9.3384,0.0168,10054.9843,39751,0,1309,0,7026,7025,34592,34583,1306,39736,99.7566,99.9363,30249,30220,5321,5314,1330,3,333,331,40209,83,767,750,0.9337,0.0445
10/03/2014,RCNA01-RNC,UCAB0053,60653,UCAB005,100%,8.688,0,7752.3832,25104,0,982,0,2241,2241,21743,21723,979,25093,99.6945,99.8642,85312,85264,11161,11149,1120,2,187,186,25648,56,239,220,1.0093,0.0711
10/03/2014,RCNA01-RNC,UCAB0054,60654,UCAB005,100%,1.5216,0,5162.3948,12285,0,188,0,439,439,4409,4409,188,12278,100,99.943,9612,9610,1672,1669,194,0,3,3,12454,20,1,1,0.4655,0.0448
10/03/2014,RCNA01-RNC,UCAB0055,60655,UCAB005,100%,4.416,0,12077.4295,25116,0,566,0,4827,4827,16105,16105,564,25096,99.6466,99.9204,17319,17312,3344,3334,528,2,28,28,24692,36,44,43,1.2037,0.0661
10/03/2014,RCNA01-RNC,UCAB0056,60656,UCAB005,100%,10.8072,0,7416.0944,31469,0,1384,0,2808,2808,27501,27496,1383,31452,99.9277,99.9278,38375,38359,6597,6589,1307,1,19,19,31747,52,35,32,0.9198,0.0723
10/03/2014,RCNA01-RNC,UCAB0061,60661,UCAB006,100%,8.2656,0,5005.5475,17765,0,874,0,2249,2248,14373,14367,873,17748,99.8412,99.8626,66368,66318,11940,11927,972,0,32,32,17988,61,84,84,0.8228,0.0396
10/03/2014,RCNA01-RNC,UCAB0062,60662,UCAB006,100%,5.0424,0,3099.0012,15088,0,572,0,1239,1239,13693,13692,571,15081,99.8252,99.9463,28391,28375,5066,5063,603,0,24,24,15465,22,100,99,0.7761,0.051
10/03/2014,RCNA01-RNC,UCAB0063,60663,UCAB006,100%,18.5832,0.0072,8997.1081,32554,0,1822,0,4600,4599,24384,24377,1819,32519,99.8136,99.8638,78437,78361,15122,15109,1942,8,135,132,33407,78,120,116,0.783,0.0403
10/03/2014,RCNA01-RNC,UCAB0064,60664,UCAB006,100%,13.5216,0,3852.3843,21056,0,1715,0,3166,3166,17953,17949,1714,21047,99.9417,99.935,40873,40856,9478,9471,1608,1,8,8,20818,66,16,16,0.4531,0.0357
10/03/2014,RCNA01-RNC,UCAB0065,60665,UCAB006,100%,5.1408,0,2173.5122,11199,0,665,0,1349,1349,9924,9924,664,11193,99.8496,99.9464,11209,11202,1967,1966,650,2,13,13,11210,29,17,17,0.6791,0.0334
10/03/2014,RCNA01-RNC,UCAB0066,60666,UCAB006,100%,16.62,0.012,11187.7947,32253,0,1987,0,4102,4102,21540,21532,1985,32208,99.8993,99.8234,57643,57604,10367,10358,1920,4,33,33,32350,69,49,45,0.9829,0.0528
10/03/2014,RCNA01-RNC,UCAB0071,60671,UCAB007,100%,4.2792,0,155.4498,5604,0,504,0,622,622,5028,5027,504,5602,100,99.9444,3167,3166,566,566,496,2,14,14,5612,4,65,63,0.5742,0.0462
