Time,RNC,CELLNAME,CellId,NODEBNAME,Integrity,VoiceTraffic(Erl),VP Traffic(Erl),PS Traffic(MB),PS RAB Attempt(number),RAB congestion PS(number),CS RAB Attempt(number),RAB congestion CS(number),RRC CS Attempt,RRC CS Success,RRC PS Attempt,RRC PS Sucess,CS RAB Suc(number),RAB PS Sucess,CS CSSR(%),PS CSSR(%),Soft handover attempt,SHO suc No,HHO Attempt,HHO suc,CS Call Attempt,CS Drop,CS InterRat HO Attempt(number),CS InterRat suc(number),PS Call Attempt,Drop PS,PS InterRat Attempt,PS InterRat suc,HSDPA Throughput (Mb/s)(mb/second),HSUPA Throughput (Mb/s)(mb/second)
10/03/2014 00:00,RCNA01-RNC,UNAM2904,47904,UNAM290,100%,0,0,167.9177,115,0,0,0,3,3,113,113,0,115,0,100,2,2,0,0,0,0,0,0,116,0,1,1,2.8799,0.0299
10/03/2014 00:00,RCNA02-RNC,USOF0871,19571,USOF087,100%,0,0,916.3482,158,0,0,0,1,1,152,152,0,158,0,100,225,225,16,16,0,0,0,0,163,0,0,0,0.8759,1.0783
10/03/2014 00:00,RCNA02-RNC,USOF0753,19453,USOF075,100%,0.0042,0,548.1755,93,0,3,0,3,3,93,93,3,93,100,100,29,29,13,13,3,0,0,0,93,0,0,0,3.1429,0.07
10/03/2014 00:00,RCNA02-RNC,USOF1326,20026,USOF132,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,UZAM0219,33619,UZAM021,100%,0,0,2220.4633,105,0,0,0,0,0,24,24,0,105,0,100,215,215,16,16,0,0,0,0,83,0,2,2,3.0318,0.2205
10/03/2014 00:00,RCNA02-RNC,USOF0445,19145,USOF044,100%,0,0,675.6075,734,0,0,0,12,12,163,163,0,729,0,99.3188,153,153,27,27,0,0,0,0,616,0,0,0,0.7372,0.1138
10/03/2014 00:00,RCMP02,UMAP0732,7132,UMAP073,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,USOF0282,18982,USOF028,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,UNIA0411,57411,UNIA041,100%,0.0042,0,200.8673,429,0,1,0,8,8,418,418,1,429,100,100,144,143,18,18,2,0,1,1,438,2,0,0,4.2186,0.0595
10/03/2014 00:00,RCMP02,UMAP0165,6565,UMAP016,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP0176,6576,UMAP017,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP0455,6855,UMAP045,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP0846,7246,UMAP084,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP2684,9084,UMAP268,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP0781,7181,UMAP078,100%,0.1125,0,1889.8403,850,0,11,0,80,80,771,771,11,849,100,99.8824,335,335,37,37,10,0,0,0,838,1,0,0,0.9629,0.0455
10/03/2014 00:00,RCMP02,UMAP0881,7281,UMAP088,100%,0,0,1598.1994,92,0,0,0,11,11,47,47,0,92,0,100,260,260,95,94,0,0,0,0,94,7,0,0,1.4803,0.1012
10/03/2014 00:00,RCMP02,UMAP2513,8913,UMAP251,100%,0.0125,0,1721.8278,116,0,1,0,1,1,106,106,1,116,100,100,144,144,116,116,1,0,0,0,114,0,0,0,1.6161,0.05
10/03/2014 00:00,RCMP02,UMAP0095,6495,UMAP009,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP0016,6416,UMAP001,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,UTET0591,28591,UTET059,100%,0,0,327.4522,414,0,0,0,16,16,411,411,0,414,0,100,53,53,4,4,0,0,0,0,416,0,6,6,1.0693,0.0425
10/03/2014 00:00,RCNA02-RNC,USOF0394,19094,USOF039,100%,0,0,576.513,826,0,0,0,0,0,103,103,0,825,0,99.8789,1286,1286,278,278,0,0,0,0,548,0,1,1,0.6552,0.052
10/03/2014 00:00,RCMP02,UGAZ1142,12342,UGAZ114,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,USOF0181,18881,USOF018,100%,0,0,83.3586,239,0,0,0,121,121,125,125,0,239,0,100,361,361,89,89,0,0,0,0,231,0,0,0,0.2573,0.0318
10/03/2014 00:00,RCNA02-RNC,UZAM0121,33521,UZAM012,100%,0,0,873.818,2216,0,0,0,24,24,132,132,0,2216,0,100,492,492,37,37,0,0,0,0,2211,0,0,0,1.3849,0.0928
10/03/2014 00:00,RCNA02-RNC,UMAN0382,24082,UMAN038,100%,0,0,863.6881,427,0,0,0,4,4,389,389,0,425,0,99.5316,363,363,333,334,0,0,0,0,426,0,0,0,0.8625,0.0291
10/03/2014 00:00,RCMP02,UMAP0146,6546,UMAP014,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP1084,7484,UMAP108,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP1074,7474,UMAP107,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,UNIA0753,57753,UNIA075,100%,0.0167,0,821.2794,1153,0,4,0,438,438,604,604,4,1149,100,99.6531,632,631,126,126,3,0,0,0,1154,4,10,9,0.9354,0.1438
10/03/2014 00:00,RCMP02,UINH0811,15711,UINH081,100%,0,0,393.4512,161,0,0,0,0,0,157,157,0,161,0,100,12,12,4,4,0,0,0,0,164,1,0,0,3.3133,0.1775
10/03/2014 00:00,RCMP02,UGAZ0971,12171,UGAZ097,100%,0.0042,0,109.9796,63,0,2,0,2,2,61,61,2,63,100,100,2,2,0,0,2,0,0,0,64,0,0,0,3.7965,0.0321
10/03/2014 00:00,RCMP02,UMAP0821,7221,UMAP082,100%,0.0125,0,1427.3433,172,0,2,0,2,2,151,151,2,172,100,100,88,88,14,14,2,0,0,0,176,0,0,0,2.8194,0.0637
10/03/2014 00:00,RCMP02,UMAP1702,8102,UMAP170,100%,0,0,538.3786,189,0,0,0,0,0,180,180,0,189,0,100,84,84,1,1,0,0,0,0,188,0,0,0,1.1108,0.0276
10/03/2014 00:00,RCMP02,UMAP0014,6414,UMAP001,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UMAP1065,7465,UMAP106,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCMP02,UINH0891,15791,UINH089,100%,0.0125,0,659.3059,123,0,1,0,1,1,103,103,1,123,100,100,110,110,212,212,1,0,0,0,115,0,0,0,0.8858,0.0294
10/03/2014 00:00,RCNA02-RNC,USOF0412,19112,USOF041,100%,0.0042,0,220.4063,317,0,1,0,3,3,292,292,1,316,100,99.6845,795,795,70,70,1,0,0,0,328,0,4,2,0.8413,0.3205
10/03/2014 00:00,RCMP02,UMAP0185,6585,UMAP018,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2014 00:00,RCNA02-RNC,UZAM0015,33415,UZAM001,100%,0,0,1524.7917,2127,0,0,0,0,0,325,323,0,2124,0,99.2444,323,323,98,98,0,0,0,0,1652,2,5,5,1.2405,0.0812
10/03/2014 00:00,RCNA01-RNC,UNAM2144,47144,UNAM214,100%,0,0,269.2376,131,0,0,0,0,0,124,124,0,131,0,100,12,12,2,2,0,0,0,0,131,0,1,1,2.4381,0.032
